fecha;pm10;velocidad;direccion;pm2-5
1/01/2024 1:00;31;1,1;128;31
1/01/2024 2:00;0;1,1;157;60
1/01/2024 3:00;0;0,9;188;57
1/01/2024 4:00;51,1;0,7;190;45
1/01/2024 5:00;49,5;0,8;195;31
1/01/2024 6:00;40,8;1,3;295;36
1/01/2024 7:00;32,5;0,9;339;20
1/01/2024 8:00;28,3;1,2;286;12
1/01/2024 9:00;28,9;1,1;203;18
1/01/2024 10:00;20,8;0,5;265;18
1/01/2024 11:00;15,5;2;359;9
1/01/2024 12:00;12;2,4;117;12
1/01/2024 13:00;9;1;149;9
1/01/2024 14:00;6,1;1,3;168;5
1/01/2024 15:00;6;1,6;332;6
1/01/2024 16:00;0;2,9;307;11
1/01/2024 17:00;0;1,6;8;18
1/01/2024 18:00;0;2,3;264;21
1/01/2024 19:00;23,4;1,4;255;20
1/01/2024 20:00;27;2,1;286;27
1/01/2024 21:00;31;1,2;147;21
1/01/2024 22:00;22,3;1,5;5;19
1/01/2024 23:00;36;1;334;22
2/01/2024 0:00;25,6;1,2;17;10
2/01/2024 1:00;22,8;1,6;70;16
2/01/2024 2:00;25,8;1,7;133;22
2/01/2024 3:00;36,8;1,4;208;25
2/01/2024 4:00;28,6;1,1;231;25
2/01/2024 5:00;29,4;1,2;220;16
2/01/2024 6:00;23,8;0,8;238;18
2/01/2024 7:00;31,2;0,8;271;21
2/01/2024 8:00;31,8;1,3;352;31
2/01/2024 9:00;29,9;0,7;90;21
2/01/2024 10:00;21,6;2,2;43;16
2/01/2024 11:00;29,7;1,8;33;18
2/01/2024 12:00;22,4;0,9;62;9
2/01/2024 13:00;16,6;0,8;69;14
2/01/2024 14:00;12,8;1;354;12
2/01/2024 15:00;18,8;3,2;309;18
2/01/2024 16:00;23,5;1,1;296;23
2/01/2024 17:00;32,9;1,7;7;26
2/01/2024 18:00;35,9;2;13;25
2/01/2024 19:00;40,7;2,8;190;26
2/01/2024 20:00;42,6;1,4;34;26
2/01/2024 21:00;36,9;1,7;96;19
2/01/2024 22:00;34,3;2,1;207;23
2/01/2024 23:00;37,2;2;269;26
3/01/2024 0:00;37,2;1,6;307;13
3/01/2024 1:00;38,3;1,9;321;21
3/01/2024 2:00;34,1;1,2;309;17
3/01/2024 3:00;33,6;1,4;316;23
3/01/2024 4:00;24,7;0,8;289;22
3/01/2024 5:00;38,1;0,9;228;19
3/01/2024 6:00;27,9;1,2;225;23
3/01/2024 7:00;31,6;1,1;186;26
3/01/2024 8:00;43,4;1,3;200;38
3/01/2024 9:00;39,1;1;141;30
3/01/2024 10:00;47,9;0,9;249;29
3/01/2024 11:00;47,2;0,8;205;21
3/01/2024 12:00;34,3;1,1;177;13
3/01/2024 13:00;25,2;1,2;237;21
3/01/2024 14:00;19,3;3,2;176;15
3/01/2024 15:00;0;0,3;285;28
3/01/2024 16:00;44,5;1,6;318;27
3/01/2024 17:00;43,7;2,4;284;22
3/01/2024 18:00;44,6;3;285;19
3/01/2024 19:00;46,3;2,6;305;14
3/01/2024 20:00;35,2;2;4;22
3/01/2024 21:00;30,7;1,7;145;8
3/01/2024 22:00;29,8;1,6;211;15
3/01/2024 23:00;28,4;1;129;19
4/01/2024 0:00;27,2;0,9;122;11
4/01/2024 1:00;35,4;1,1;128;23
4/01/2024 2:00;42,9;0,6;133;26
4/01/2024 3:00;46,9;0,9;139;24
4/01/2024 4:00;48;1,2;140;21
4/01/2024 5:00;38,2;1,4;96;17
4/01/2024 6:00;37,8;1,3;76;18
